iteration,top1,top5
0,84.53407058058221,95.95056106684014
500,84.35517970401692,96.09692632948446
1000,85.52610180517158,96.34086843389169
1500,85.11953163115955,96.30834281997073
2000,85.16832005204098,96.42218246869409
