iteration,top1,top5
0,63.829787234042556,90.79787234042553
500,64.04255319148936,90.95744680851064
1000,64.41489361702128,91.32978723404256
1500,64.09574468085107,91.06382978723404
2000,64.30851063829788,91.11702127659575
