iteration,top1,top5
0,78.08667211774325,97.13818479149631
500,93.0771327337149,99.80921231943309
1000,94.03107113654947,99.89097846824748
1500,93.64949577541564,99.89097846824748
2000,93.86753883892068,99.89097846824748
