iteration,top1,top5
0,69.89714285714285,94.34285714285714
500,70.01714285714286,94.38857142857144
1000,69.82857142857142,94.35428571428571
1500,69.74857142857142,94.34285714285714
2000,69.67428571428572,94.35428571428571
