iteration,top1,top5
0,85.42592592592592,99.25925925925925
500,85.70370370370371,99.27777777777777
1000,85.75925925925925,99.31481481481481
1500,85.94444444444444,99.4074074074074
2000,86.29629629629629,99.3888888888889
