iteration,top1,top5
0,61.845541599303566,92.79940305932098
500,61.3605272975998,92.77453053102847
1000,61.3605272975998,92.81183932346723
1500,61.27347344857604,92.78696679517473
2000,61.2859097127223,92.76209426688223
